"The performance of schools in the May 2019 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC Modernization Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:
MAY 2019 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSE D,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
,JOSE,,,,,,,20,0,,9.09%,,,,,,
108,DIVINE WORD COLLEGE OF VIGAN,0,0,0,0,0.00%,0,2,0,2,0.00%,0,2,0,2,0.00%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
109,DIVINE WORD UNIVERSITY-,0,0,0,0,0.00%,0,2,0,2,,0,2,0,2,0.00%,
,TACLOBAN,,,,,,,,,,0.00%,,,,,,
110,DR. FILEMON C. AGUILAR,6,21,1,28,21.43%,5,,,24,,11,40,1,52,21.15%,
,MEMORIAL COLLEGE,,,,,,,19,0,,20.83%,,,,,,
111,DR. GLORIA D. LACSON FOUND.,0,37,0,37,0.00%,1,,,38,,1,73,1,75,1.33%,
,COLLEGES OF CABANATUAN,,,,,,,36,1,,2.63%,,,,,,
,"CITY,INC.",,,,,,,,,,,,,,,,
112,DR. GLORIA D. LACSON,2,49,1,52,3.85%,7,,,33,,9,74,2,85,10.59%,
,"FOUNDATION COLLEGES, INC.",,,,,,,25,1,,21.21%,,,,,,
113,"DR. YANGA'S COLLEGES, INC",0,1,0,1,0.00%,1,8,0,9,11.11%,1,9,0,10,10.00%,
114,E. L. JOSON MEMORIAL COLLEGE,0,1,0,1,0.00%,1,4,0,5,20.00%,1,5,0,6,16.67%,
115,EASTERN SAMAR STATE,2,9,1,12,16.67%,2,,,7,,4,14,1,19,21.05%,
,UNIVERSITY - BORONGAN,,,,,,,5,0,,28.57%,,,,,,
116,EASTERN VISAYAS STATE UNIV.,0,1,0,1,0.00%,0,,,0,,0,1,0,1,0.00%,
,(for. L.I.T.)-TANAUAN CAMPUS,,,,,,,0,0,,0.00%,,,,,,
117,EASTERN VISAYAS STATE,1,1,0,2,50.00%,5,,,12,41.67%,6,8,0,14,42.86%,
,UNIVERSITY (for.L.I.T.)TACLOBAN,,,,,,,7,0,,,,,,,,
118,EMILIO AGUINALDO COLLEGE-,0,1,0,1,0.00%,1,,,3,33.33%,1,3,0,4,25.00%,
,DASMARIÑAS,,,,,,,2,0,,,,,,,,
119,EMILIO AGUINALDO COLLEGE-,0,6,0,6,0.00%,1,,,10,,1,15,0,16,6.25%,
