"The perfonnance of schools in the May 2022 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC ModerniZation Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:",,,,,,,,,,,,,,,,,
"MAY 2022 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION
PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
"SEQ.
NO.",SCHOOL,FIRST TIMERS,,,,,,,,,,OVERALL PERFORMANCE,,,,,
13,ANGELES UNIVERSITY FOUNDATION,1,3,0,4,25.00%,2,1,0,3,66.67%,3,4,0,7,42.86%,
",.",AQUINASUNIVERSITY,0,8,0,8,0.00%,0,0,0,0,0.00%,0,8,0,8,0.00%,
15,AAAULLO UNIV ERSITY,0,0,0,0,0.00%,0,3,0,3,0.00%,0,3,0,3,0.00%,
16,AREUANOUNN'ERSrTY-MA.NILA,0,0,0,0,0.00%,0,1,1,2,0.00%,0,1,1,2,0.00%,
17,ASIAPACIFICCOLLEGE,2,3,0,5,40.00114,0,0,0,0,0 .00%,2,3,0,5,40.00%,
18,"ASIAPACIFICCOLLEGE OF
ADVANCED STUDIES",0,1,0,1,0.00%,0,2,0,2,0.00%,0,3,0,3,0.00%,
19,"ASIACAREER COLLEGE
FOUNDATION",0,1,0,1,0.00%,0,0,0,0,0.00%,0,1,0,1,0.00%,
20,"ASIANCOLLEGE OF SCIENCE &
TECHNOLOOY-OUMAGUETE",0,0,0,0,0.00%,0,2,0,2,0.00%,0,2,0,2,0.00%,
21,ASIAN DEVELOPMENT FOUNDATION COLLEGE,1,0,0,1,100.00%,0,0,0,0,0.00%,1,0,0,1,100.00%,
22,ASSUMPTION COLLEGE OF NASUNTURAN,0,1,0,1,0.00%,1,2,0,3,33.33%,1,3,0,4,25.00%,
23,ATENEO OE DAVAOUNIVERSITY,7,2•,1,32,21.88%,",.","13
..",1,"28
..",50.00%,21,"37
..",2,60,35.00%,
"""",ATENEO OE NAGA UNIVERSITY,•,"""",•,"""","""1<1 00<).t",0,,•,,,•,,•,••,"<10  ., t:    .",
·-,,,,,,,,,,,,,,,,,
"""""'       t:N'/.-f",,,,,,,,,,,,,,,,,
"SEQ.
NO.",SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
,,PASSED,,"""""""D",TOTAL,"""loPASSED",PASS£D,PAILE.0,OOND,TOTAL,"PA""Ssa>",PASSED,",....,,",COND,l0  1A L,% PASSED,
25,ATENEOOE ZAMBOANGA UNIVERSITY,5,10,2,17,29.41114,4,12,0,16,25.00%,9,22,2,33,27.21%,
26,BALIUAG UNIVERSITY (8ALIUAG COUEGES),4,4,0,8,50.00%,2,1,0,3,66.67%,6,5,0,11,54.55%,
27,BALIWAGPOLYTECHNIC COLLEGE,0,0,0,0,0.00%,1,0,0,1,100.00%,1,0,0,1,100.00%,
28,"BATAAN PENINSULA STATE
UNIVERSTIY • BALANGA",0,3,0,3,0.00%,0,7,0,7,0.00%,0,10,0,10,0.00%,
