School,Location,City,TRange,Tuition Fee,Course
DALUBHASAAN NG LUNGSOD NG SAN PABLO,Laguna,"San Pablo City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
DALUBHASAAN NG LUNGSOD NG SAN PABLO,Laguna,"San Pablo City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Psychology
SAN PEDRO COLLEGE OF BUSINESS ADMINISTRATION,Laguna,"San Pedro, Laguna",21000 - 40000,"30,000-40,000",Bachelor of Science in Accountancy
SAN PEDRO COLLEGE OF BUSINESS ADMINISTRATION,Laguna,"San Pedro, Laguna",21000 - 40000,"30,000-40,000",Bachelor of Science in Psychology
LAGUNA NORTHWESTERN COLLEGE,Laguna,"San Pedro, Laguna",21000 - 40000,"26,000-30,000",Bachelor of Science in Elementary Education
LAGUNA NORTHWESTERN COLLEGE,Laguna,"San Pedro, Laguna",21000 - 40000,"26,000-30,000",Bachelor of Science in Secondary Education
LAGUNA NORTHWESTERN COLLEGE,Laguna,"San Pedro, Laguna",21000 - 40000,"26,000-30,000",Bachelor of Science in Accountancy
LAGUNA NORTHWESTERN COLLEGE,Laguna,"San Pedro, Laguna",21000 - 40000,"26,000-30,000",Bachelor of Science in Nursing
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSAN PEDRO,Laguna,"San Pedro, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
LAGUNA STATE POLYTECHNIC UNIVSTA CRUZ (LSPC),Laguna,"Santa Cruz, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Elementary Education
LAGUNA STATE POLYTECHNIC UNIVSTA CRUZ (LSPC),Laguna,"Santa Cruz, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Secondary Education
LAGUNA STATE POLYTECHNIC UNIVSTA CRUZ (LSPC),Laguna,"Santa Cruz, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Criminology
LAGUNA STATE POLYTECHNIC UNIVSTA CRUZ (LSPC),Laguna,"Santa Cruz, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Civil Engineering
LAGUNA STATE POLYTECHNIC UNIVSTA CRUZ (LSPC),Laguna,"Santa Cruz, Laguna",0 - 20000,"12,000-14,000",Bachelor of Science in Nursing
UNION COLLEGE,Laguna,"Santa Cruz, Laguna",21000 - 40000,"24,000-28,000",Bachelor of Science in Elementary Education
UNION COLLEGE,Laguna,"Santa Cruz, Laguna",21000 - 40000,"24,000-28,000",Bachelor of Science in Secondary Education
