School,Location,City,TRange,Tuition Fee,Course
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Nursing
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Criminology
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Psychology
Batangas Eastern Colleges,Batangas,"San Juan, Batangas",0 - 20000,"20,000-24,000",Bachelor of Science in Elementary Education
Batangas Eastern Colleges,Batangas,"San Juan, Batangas",0 - 20000,"20,000-24,000",Bachelor of Science in Secondary Education
Batangas Eastern Colleges,Batangas,"San Juan, Batangas",0 - 20000,"20,000-24,000",Bachelor of Science in Accountancy
Batangas State University - San Juan Campus,Batangas,"San Juan, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Lemery Colleges,Batangas,"Lemery, Batangas",21000 -40000,"26,000-28,000",Bachelor of Science in Elementary Education
Lemery Colleges,Batangas,"Lemery, Batangas",21000 -40000,"26,000-28,000",Bachelor of Science in Secondary Education
Lemery Colleges,Batangas,"Lemery, Batangas",21000 -40000,"26,000-28,000",Bachelor of Science in Criminology
Lemery Colleges,Batangas,"Lemery, Batangas",21000 -40000,"26,000-28,000",Bachelor of Science in Psychology
Lemery Colleges,Batangas,"Lemery, Batangas",21000 -40000,"26,000-28,000",Bachelor of Science in Pharmacy
Sta. Teresa College,Batangas,"Bauan, Batangas",21000 -40000,"24,000-30,000",Bachelor of Science in Elementary Education
Sta. Teresa College,Batangas,"Bauan, Batangas",21000 -40000,"24,000-30,000",Bachelor of Science in Secondary Education
Sta. Teresa College,Batangas,"Bauan, Batangas",21000 -40000,"24,000-30,000",Bachelor of Science in Psychology
Rizal College of Taal,Batangas,"Taal, Batangas",21000 -40000,"30,000-36,000",Bachelor of Science in Elementary Education
Rizal College of Taal,Batangas,"Taal, Batangas",21000 -40000,"30,000-36,000",Bachelor of Science in Secondary Education
Rizal College of Taal,Batangas,"Taal, Batangas",21000 -40000,"30,000-36,000",Bachelor of Science in Accountancy
Rizal College of Taal,Batangas,"Taal, Batangas",21000 -40000,"30,000-36,000",Bachelor of Science in Criminology
Immaculate Concepcion College,Batangas,"Balayan, Batangas",21000 -40000,"30,000-40,000",Bachelor of Science in Elementary Education
Immaculate Concepcion College,Batangas,"Balayan, Batangas",21000 -40000,"30,000-40,000",Bachelor of Science in Secondary Education
Immaculate Concepcion College,Batangas,"Balayan, Batangas",21000 -40000,"30,000-40,000",Bachelor of Science in Accountancy
