School,Location,City,TRange,Tuition Fee,Course
University of Makati,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Nursing
University of Makati,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Elementary Education
University of Makati,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Civil Engineering
University of Makati,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Secondary Education
Centro Escolar University - Makati Gil Puyat,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Accountancy
Centro Escolar University - Makati Gil Puyat,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Nursing
Centro Escolar University - Makati Gil Puyat,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Psychology
Mapúa University - Makati,NCR,Makati,81000 - 100000,"92,000-96,000",Bachelor of Science in Accountancy
Mapúa University,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Civil Engineering
Mapúa University,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Psychology
Mapúa University,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Electronics Engineering
Mapúa University,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Electrical Engineering
Mapúa University,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Mechanical Engineering
Pamantasan ng Lungsod ng Maynila,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Pamantasan ng Lungsod ng Maynila,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Pamantasan ng Lungsod ng Maynila,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Pamantasan ng Lungsod ng Maynila,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Pamantasan ng Lungsod ng Maynila,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Nursing
De La Salle University,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Elementary Education
De La Salle University,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Secondary Education
De La Salle University,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Accountancy
De La Salle University,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Civil Engineering
De La Salle University,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Psychology
Rizal Technological University,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Rizal Technological University,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Rizal Technological University,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Rizal Technological University,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Psychology
Rizal Technological University,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
Arellano University in Mandaluyong,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Elementary Education
Arellano University in Mandaluyong,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Secondary Education
Arellano University in Mandaluyong,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Criminology
Jose Rizal University,NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Elementary Education
Jose Rizal University,NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
Jose Rizal University,NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Criminology
Jose Rizal University,NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Accountancy
Jose Rizal University,NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Nursing
Dominican College,NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Secondary Education
Dominican College,NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Nursing
Dominican College,NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Psychology
Polytechnic University Of The Philippines - San Juan City,NCR,San Juan City,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Polytechnic University Of The Philippines - San Juan City,NCR,San Juan City,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Arellano University in Pasay,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Elementary Education
Arellano University in Pasay,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Secondary Education
Arellano University in Pasay,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Nursing
Arellano University in Pasay,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Psychology
Pamantasan ng Lungsod ng Pasay,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Elementary Education
Pamantasan ng Lungsod ng Pasay,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Secondary Education
Pamantasan ng Lungsod ng Pasay,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Nursing
Manila Adventist College,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Accountancy
Manila Adventist College,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Nursing
Olivarez College,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Elementary Education
Olivarez College,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Secondary Education
Olivarez College,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Criminology
Olivarez College,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Accountancy
Universal Colleges of Paranaque,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Elementary Education
Universal Colleges of Paranaque,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Secondary Education
Universal Colleges of Paranaque,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Accountancy
Universal Colleges of Paranaque,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Nursing
Immaculate Heart Of Mary College,NCR,Paranaque City,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
Immaculate Heart Of Mary College,NCR,Paranaque City,41000 - 60000,"40,000-50,000",Bachelor of Science in Psychology
Southville International School and Colleges,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Accountancy
Southville International School and Colleges,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Nursing
Southville International School and Colleges,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Psychology
University of Perpetual Help System DALTA in Las Piñas,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Elementary Education
University of Perpetual Help System DALTA in Las Piñas,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Secondary Education
University of Perpetual Help System DALTA in Las Piñas,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Criminology
University of Perpetual Help System DALTA in Las Piñas,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Accountancy
Bernardo College,NCR,Las Pinas,21000 - 40000,"34,000-38,000",Bachelor of Science in Elementary Education
Bernardo College,NCR,Las Pinas,21000 - 40000,"34,000-38,000",Bachelor of Science in Secondary Education
Lyceum of Alabang,NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Elementary Education
Lyceum of Alabang,NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
Lyceum of Alabang,NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Criminology
Lyceum of Alabang,NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Accountancy
San Beda College Alabang,NCR,Muntinlupa City,150000 above,"145,000-155,000",Bachelor of Science in Elementary Education
San Beda College Alabang,NCR,Muntinlupa City,150000 above,"145,000-155,000",Bachelor of Science in Secondary Education
San Beda College Alabang,NCR,Muntinlupa City,150000 above,"145,000-155,000",Bachelor of Science in Accountancy
San Beda College Alabang,NCR,Muntinlupa City,150000 above,"145,000-155,000",Bachelor of Science in Psychology
Pamantasan ng Lungsod ng Muntinlupa,NCR,Muntinlupa City,0 - 20000,"6,000-8,000",Bachelor of Science in Elementary Education
Pamantasan ng Lungsod ng Muntinlupa,NCR,Muntinlupa City,0 - 20000,"6,000-8,000",Bachelor of Science in Secondary Education
Pamantasan ng Lungsod ng Muntinlupa,NCR,Muntinlupa City,0 - 20000,"6,000-8,000",Bachelor of Science in Criminology
Pamantasan ng Lungsod ng Muntinlupa,NCR,Muntinlupa City,0 - 20000,"6,000-8,000",Bachelor of Science in Accountancy
Pamantasan ng Lungsod ng Muntinlupa,NCR,Muntinlupa City,0 - 20000,"6,000-8,000",Bachelor of Science in Psychology
Southern Luzon State University - Alabat Campus,Quezon Province,"Alabat, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Leon Guinto Memorial College,Quezon Province,"Atimonan, Quezon",21000 - 40000,"24,000-26,000",Bachelor of Science in Elementary Education
Leon Guinto Memorial College,Quezon Province,"Atimonan, Quezon",21000 - 40000,"24,000-26,000",Bachelor of Science in Secondary Education
Leon Guinto Memorial College,Quezon Province,"Atimonan, Quezon",21000 - 40000,"24,000-26,000",Bachelor of Science in Accountancy
Calauag Central Colleges,Quezon Province,"Calauag, Quezon",21000 - 40000,"26,000-28,000",Bachelor of Science in Elementary Education
Calauag Central Colleges,Quezon Province,"Calauag, Quezon",21000 - 40000,"26,000-28,000",Bachelor of Science in Secondary Education
Manuel S. Enverga University Foundation - Candelaria,Quezon Province,"Candelaria, Quezon",41000 - 60000,"40,000-44,000",Bachelor of Science in Elementary Education
Manuel S. Enverga University Foundation - Candelaria,Quezon Province,"Candelaria, Quezon",41000 - 60000,"40,000-44,000",Bachelor of Science in Secondary Education
Manuel S. Enverga University Foundation - Candelaria,Quezon Province,"Candelaria, Quezon",41000 - 60000,"40,000-44,000",Bachelor of Science in Criminology
Manuel S. Enverga University Foundation - Candelaria,Quezon Province,"Candelaria, Quezon",41000 - 60000,"40,000-44,000",Bachelor of Science in Accountancy
Manuel S. Enverga University Foundation - Candelaria,Quezon Province,"Candelaria, Quezon",41000 - 60000,"40,000-44,000",Bachelor of Science in Nursing
Manuel S. Enverga University Foundation - Catanauan,Quezon Province,"Catanauan, Quezon",21000 - 40000,"28,000-31,000",Bachelor of Science in Elementary Education
Manuel S. Enverga University Foundation - Catanauan,Quezon Province,"Catanauan, Quezon",21000 - 40000,"28,000-31,000",Bachelor of Science in Secondary Education
Polytechnic University of the Philippines in General Luna,Quezon Province,"General Luna, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Holy Child Jesus College,Quezon Province,"Gumaca, Quezon",21000 - 40000,"20,000-22,000",Bachelor of Science in Elementary Education
Holy Child Jesus College,Quezon Province,"Gumaca, Quezon",21000 - 40000,"20,000-22,000",Bachelor of Science in Secondary Education
Southern Luzon State University - Gumaca Campus,Quezon Province,"Gumaca, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
"Northern Quezon College, Inc",Quezon Province,"Infanta, Quezon",0 - 20000,"14,000-18,000",Bachelor of Science in Elementary Education
"Northern Quezon College, Inc",Quezon Province,"Infanta, Quezon",0 - 20000,"14,000-18,000",Bachelor of Science in Secondary Education
Southern Luzon State University - Infanta Campus,Quezon Province,"Infanta, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Philippine Normal University in Lopez,Quezon Province,"Lopez, Quezon",0 - 20000,"3,000-4,000",Bachelor of Science in Elementary Education
Polytechnic University of the Philippines - Lopez,Quezon Province,"Lopez, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Polytechnic University of the Philippines - Lopez,Quezon Province,"Lopez, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Polytechnic University of the Philippines - Lopez,Quezon Province,"Lopez, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Polytechnic University of the Philippines - Lopez,Quezon Province,"Lopez, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
Southern Luzon State University,Quezon Province,"Lucban, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Southern Luzon State University,Quezon Province,"Lucban, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Southern Luzon State University,Quezon Province,"Lucban, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Southern Luzon State University,Quezon Province,"Lucban, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Southern Luzon State University,Quezon Province,"Lucban, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Nursing
AMA Computer University - Lucena Campus,Quezon Province,"Lucena City, Quezon",21000 - 40000,"32,000-36,000",Bachelor of Science in Elementary Education
AMA Computer University - Lucena Campus,Quezon Province,"Lucena City, Quezon",21000 - 40000,"32,000-36,000",Bachelor of Science in Secondary Education
AMA Computer University - Lucena Campus,Quezon Province,"Lucena City, Quezon",21000 - 40000,"32,000-36,000",Bachelor of Science in Accountancy
Manuel S. Enverga University Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"44,000-50,000",Bachelor of Science in Elementary Education
Manuel S. Enverga University Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"44,000-50,000",Bachelor of Science in Secondary Education
Manuel S. Enverga University Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"44,000-50,000",Bachelor of Science in Criminology
Manuel S. Enverga University Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"44,000-50,000",Bachelor of Science in Accountancy
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Elementary Education
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Secondary Education
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Criminology
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Accountancy
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Nursing
Calayan Educational Foundation,Quezon Province,"Lucena City, Quezon",41000 - 60000,"48,000-52,000",Bachelor of Science in Psychology
Pambayang Kolehiyo ng Mauban,Quezon Province,"Mauban, Quezon",0 - 20000,"4,000-6,000",Bachelor of Science in Elementary Education
Pambayang Kolehiyo ng Mauban,Quezon Province,"Mauban, Quezon",0 - 20000,"4,000-6,000",Bachelor of Science in Secondary Education
Polytechnic University of the Philippines - Mulanay,Quezon Province,"Mulanay, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
CVE Colleges,Quezon Province,"Pagbilao, Quezon",21000 - 40000,"36,000-40,000",Bachelor of Science in Elementary Education
CVE Colleges,Quezon Province,"Pagbilao, Quezon",21000 - 40000,"36,000-40,000",Bachelor of Science in Secondary Education
Southern Luzon State University - Polilio Campus,Quezon Province,"Polillo, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Southern Luzon State University - Tagkawayan Campus,Quezon Province,"Tagkawayan, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Polytechnic University of the Philippines - Unisan,Quezon Province,"Unisan, Quezon",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Our Lady of Fatima University in Antipolo City,Rizal,"Antipolo City, Rizal",41000 - 60000,"40,000-48,000",Bachelor of Science in Nursing
Our Lady of Fatima University in Antipolo City,Rizal,"Antipolo City, Rizal",41000 - 60000,"40,000-48,000",Bachelor of Science in Psychology
Our Lady of Fatima University in Antipolo City,Rizal,"Antipolo City, Rizal",41000 - 60000,"40,000-48,000",Bachelor of Science in Elementary Education
Our Lady of Fatima University in Antipolo City,Rizal,"Antipolo City, Rizal",41000 - 60000,"40,000-48,000",Bachelor of Science in Accountacy
ICCT Colleges Antipolo,Rizal,"Antipolo City, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges Antipolo,Rizal,"Antipolo City, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges Antipolo,Rizal,"Antipolo City, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges Antipolo,Rizal,"Antipolo City, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges Antipolo,Rizal,"Antipolo City, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
University of Rizal System - Antipolo Campus,Rizal,"Antipolo City, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Antipolo Campus,Rizal,"Antipolo City, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Antipolo Campus,Rizal,"Antipolo City, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Siena College of Taytay,Rizal,"Taytay, Rizal",61000 - 80000,"60,000-66,000",Bachelor of Science in Elementary Education
Siena College of Taytay,Rizal,"Taytay, Rizal",61000 - 80000,"60,000-66,000",Bachelor of Science in Secondary Education
Siena College of Taytay,Rizal,"Taytay, Rizal",61000 - 80000,"60,000-66,000",Bachelor of Science in Accountacy
Siena College of Taytay,Rizal,"Taytay, Rizal",61000 - 80000,"60,000-66,000",Bachelor of Science in Electronics Engineering
Siena College of Taytay,Rizal,"Taytay, Rizal",61000 - 80000,"60,000-66,000",Bachelor of Science in Nursing
ICCT Colleges Taytay,Rizal,"Taytay, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges Taytay,Rizal,"Taytay, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges Taytay,Rizal,"Taytay, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges Taytay,Rizal,"Taytay, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges Taytay,Rizal,"Taytay, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
University of Rizal System - Taytay Campus,Rizal,"Taytay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Taytay Campus,Rizal,"Taytay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Taytay Campus,Rizal,"Taytay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Nursing
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Elementary Education
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Secondary Education
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Accountacy
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Electronics Engineering
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Criminology
ICCT Colleges Cainta,Rizal,"Cainta, Rizal",21000 - 40000,"15,000-35,000",Bachelor of Science in Psychology
College of San Benildo-Rizal,Rizal,"Cainta, Rizal",41000 - 60000,"56,000-60,000",Bachelor of Science in Elementary Education
College of San Benildo-Rizal,Rizal,"Cainta, Rizal",41000 - 60000,"56,000-60,000",Bachelor of Science in Secondary Education
University of Rizal System - Cainta Campus,Rizal,"Cainta, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Cainta Campus,Rizal,"Cainta, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Electronics Engineering
University of Rizal System - Morong Campus,Rizal,"Morong, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Psychology
University of Rizal System - Tanay Campus,Rizal,"Tanay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Tanay Campus,Rizal,"Tanay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Tanay Campus,Rizal,"Tanay, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Psychology
San Ildefonso College,Rizal,"Tanay, Rizal",21000 - 40000,"24,000-26,000",Bachelor of Science in Elementary Education
San Ildefonso College,Rizal,"Tanay, Rizal",21000 - 40000,"24,000-26,000",Bachelor of Science in Secondary Education
ICCT Colleges Sumulong,Rizal,"Sumulong, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges Sumulong,Rizal,"Sumulong, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges Sumulong,Rizal,"Sumulong, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges Sumulong,Rizal,"Sumulong, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges Sumulong,Rizal,"Sumulong, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
University of Rizal System - Binangonan Campus,Rizal,"Binangonan, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Accountacy
Binangonan Catholic College,Rizal,"Binangonan, Rizal",0 - 20000,"16,000-20,000",Bachelor of Science in Secondary Education
Pamantasan ng Montalban,Rizal,"Rodriguez, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Pamantasan ng Montalban,Rizal,"Rodriguez, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Rodriguez Campus,Rizal,"Rodriguez, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Rodriguez Campus,Rizal,"Rodriguez, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
ICCT Colleges San Mateo,Rizal,"San Mateo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges San Mateo,Rizal,"San Mateo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges San Mateo,Rizal,"San Mateo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges San Mateo,Rizal,"San Mateo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges San Mateo,Rizal,"San Mateo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
San Mateo Municipal College,Rizal,"San Mateo, Rizal",0 - 20000,"8,000-10,000",Bachelor of Science in Accountacy
San Mateo Municipal College,Rizal,"San Mateo, Rizal",0 - 20000,"8,000-10,000",Bachelor of Science in Elementary Education
San Mateo Municipal College,Rizal,"San Mateo, Rizal",0 - 20000,"8,000-10,000",Bachelor of Science in Secondary Education
San Mateo Municipal College,Rizal,"San Mateo, Rizal",0 - 20000,"8,000-10,000",Bachelor of Science in Psychology
St. Matthew College,Rizal,"San Mateo, Rizal",0 - 20000,"16,000-20,000",Bachelor of Science in Elementary Education
St. Matthew College,Rizal,"San Mateo, Rizal",0 - 20000,"16,000-20,000",Bachelor of Science in Secondary Education
University of Rizal System - Pililla Campus,Rizal,"Pililla, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Pililla Campus,Rizal,"Pililla, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
University of Rizal System - Pililla Campus,Rizal,"Pililla, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Psychology
ICCT Colleges Cogeo,Rizal,"Cogeo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges Cogeo,Rizal,"Cogeo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges Cogeo,Rizal,"Cogeo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges Cogeo,Rizal,"Cogeo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges Cogeo,Rizal,"Cogeo, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
ICCT Colleges Angono,Rizal,"Angono, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Accountacy
ICCT Colleges Angono,Rizal,"Angono, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Elementary Education
ICCT Colleges Angono,Rizal,"Angono, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Secondary Education
ICCT Colleges Angono,Rizal,"Angono, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Criminology
ICCT Colleges Angono,Rizal,"Angono, Rizal",0 - 20000,"15,000-18,000",Bachelor of Science in Psychology
University of Rizal System - Angono Campus,Rizal,"Angono, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
University of Rizal System - Angono Campus,Rizal,"Angono, Rizal",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Marcelino Fule Memorial College,Laguna,"Alaminos, Laguna",0 - 20000,"16,000-20,000",Bachelor of Science in Elementary Education
Marcelino Fule Memorial College,Laguna,"Alaminos, Laguna",0 - 20000,"16,000-20,000",Bachelor of Science in Secondary Education
St. Michael's College of Laguna,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Elementary Education
St. Michael's College of Laguna,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Secondary Education
St. Michael's College of Laguna,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Nursing
Polytechnic University of the Philippines in Biñan,Laguna,"Binan City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
University of Perpetual Help System JONELTA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Elementary Education
University of Perpetual Help System JONELTA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Secondary Education
University of Perpetual Help System JONELTA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Criminology
University of Perpetual Help System JONELTA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Accountancy
Pamantasan ng Cabuyao,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Pamantasan ng Cabuyao,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Pamantasan ng Cabuyao,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Pamantasan ng Cabuyao,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Nursing
Pamantasan ng Cabuyao,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Psychology
Malayan Colleges Laguna,Laguna,"Cabuyao, Laguna",81000 - 100000,"90,000-105,000",Bachelor of Science in Accountancy
Malayan Colleges Laguna,Laguna,"Cabuyao, Laguna",81000 - 100000,"90,000-105,000",Bachelor of Science in Electronics Engineering
