SCHOOL,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,5,9,14,35.71%,1,7,8,12.50%,6,16,22,27.27%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,12,4,16,75.00%,0,0,0,0.00%,12,4,16,75.00%
CAGAYAN DE ORO COLLEGE,131,23,154,85.06%,17,46,63,26.98%,148,69,217,68.20%
CAGAYAN STATE UNIVERSITY- APARRI,14,1,15,93.33%,0,0,0,0.00%,14,1,15,93.33%
CAGAYAN STATE UNIVERSITY- GONZAGA,9,1,10,90.00%,0,0,0,0.00%,9,1,10,90.00%
CAGAYAN STATE UNIVERSITY- SANCHEZ MIRA,9,0,9,100.00%,0,0,0,0.00%,9,0,9,100.00%
CAGAYAN VALLEY COLLEGES OF QUIRINO,8,9,17,47.06%,1,4,5,20.00%,9,13,22,40.91%
CAGAYAN VALLEY COLLEGES OF TUGUEGARAO,2,0,2,100.00%,0,1,1,0.00%,2,1,3,66.67%
"CAMARINES NORTE SCHOOL OF LAWS, ARTS & SCIENCES",17,16,33,51.52%,2,4,6,33.33%,19,20,39,48.72%
CAMARINES SUR STATE AGRICULTURAL COLLEGE- PASACAO,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),49,16,65,75.38%,6,15,21,28.57%,55,31,86,63.95%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DAYAO CAMPUS,42,82,124,33.87%,14,61,75,18.67%,56,143,199,28.14%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DUMARAO,4,16,20,20.00%,1,4,5,20.00%,5,20,25,20.00%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-ESCALANTE,18,5,23,78.26%,0,0,0,0.00%,18,5,23,78.26%
CARLOS HILADO STATE COLLEGE OF FISHERIES-BINALBAGAN,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),11,1,12,91.67%,0,0,0,0.00%,11,1,12,91.67%
CEBU ROOSEVELT MEMORIAL COLLEGES,10,17,27,37.04%,2,16,18,11.11%,12,33,45,26.67%
CEBU TECHNICAL SCHOOL,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
CEGUERRA INSTITUTE OF SCIENCE & TECHNOLOGY,0,0,0,0.00%,0,2,2,0.00%,0,2,2,0.00%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)- SIPOCOT,14,19,33,42.42%,4,6,10,40.00%,18,25,43,41.86%
CENTRAL COLLEGES OF THE NORTH,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
CENTRAL COLLEGES OF THE PHILIPPINES,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,53,47,100,53.00%,12,32,44,27.27%,65,79,144,45.14%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY- OLONGAPO,7,4,11,63.64%,1,2,3,33.33%,8,6,14,57.14%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY-SAN FERNANDO,18,7,25,72.00%,2,6,8,25.00%,20,13,33,60.61%
CENTRAL MINDANAO COLLEGES,19,50,69,27.54%,9,42,51,17.65%,28,92,120,23.33%
CENTRAL MINDANAO UNIVERSITY,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
CHRIST THE KING COLLEGE OF MARANDING,0,6,6,0.00%,1,3,4,25.00%,1,9,10,10.00%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),6,6,12,50.00%,1,6,7,14.29%,7,12,19,36.84%
COLEGIO DE LA PURISIMA CONCEPCION,18,7,25,72.00%,5,14,19,26.32%,23,21,44,52.27%
COLEGIO DE LAS NAVAS,9,19,28,32.14%,1,5,6,16.67%,10,24,34,29.41%
COLEGIO DE SAN ANTONIO DE PADUA,4,12,16,25.00%,0,0,0,0.00%,4,12,16,25.00%
COLEGIO DE SAN GABRIEL ARCANGEL,4,2,6,66.67%,0,0,0,0.00%,4,2,6,66.67%
"COLEGIO DE SAN JUAN, INC.",2,5,7,28.57%,0,4,4,0.00%,2,9,11,18.18%
"COLEGIO DE SAN LORENZO RUIZ DE MANILA, INC.",4,17,21,19.05%,0,0,0,0.00%,4,17,21,19.05%
COLEGIO DE STA. CATALINA DE ALEJANDRIA,4,3,7,57.14%,2,6,8,25.00%,6,9,15,40.00%
COLEGIO DE STO. NI?O DE JASAAN,6,9,15,40.00%,2,13,15,13.33%,8,22,30,26.67%
COLLEGE OF SAINT LAWRENCE,4,3,7,57.14%,0,3,3,0.00%,4,6,10,40.00%
COMPUTER ARTS & TECHNOLOGY SCHOOL-OLD ALBAY,2,2,4,50.00%,0,7,7,0.00%,2,9,11,18.18%
CORDILLERA CAREER DEVELOPMENT COLLEGE,80,12,92,86.96%,8,15,23,34.78%,88,27,115,76.52%
COTABATO CITY CENTRAL COLLEGE,4,3,7,57.14%,0,1,1,0.00%,4,4,8,50.00%
"CRIMINAL JUSTICE COLLEGE, INC.",3,0,3,100.00%,0,2,2,0.00%,3,2,5,60.00%
CRISTAL e-COLLEGE-PANGLAO CAMPUS,0,0,0,0.00%,0,2,2,0.00%,0,2,2,0.00%
DANSALAN POLYTECHNIC COLLEGE,0,0,0,0.00%,0,2,2,0.00%,0,2,2,0.00%
DATA CENTER COLLEGE OF THE PHILIPPINES-BAGUIO CITY,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
DATA CENTER COLLEGE OF THE PHILIPPINES-BANGUED,7,11,18,38.89%,0,1,1,0.00%,7,12,19,36.84%
DATA CENTER COLLEGE OF THE PHILIPPINES-LAOAG CITY,14,16,30,46.67%,3,2,5,60.00%,17,18,35,48.57%
DAVAO WINCHESTER COLLEGES,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
