SCHOOL,% PASSED
NUEVA VIZCAYA STATE UNIVERSITY (NVSIT)-BAYOMBONG,28.89%
ORTANEZ UNIVERSITY,0.00%
"PALAWAN POLYTECHNIC COLLEGE, INC.",0.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,32.39%
PAMANTASAN NG LUNGSOD NG MAYNILA,92.11%
PAMANTASAN NG LUNGSOD NG VALENZUELA,60.00%
PAMANTASAN NG MONTALBAN- RODRIGUEZ(MONTALBAN),0.00%
PANGASINAN STATE UNIVERSITY- URDANETA,73.08%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),0.00%
PARTIDO STATE UNIVERSITY- (GOA)GAO,12.50%
PARTIDO STATE UNIVERSITY-SAN JOSE(for.SN JOSE P.I),0.00%
PHILIPPINE CENTRAL ISLANDS COLLEGE,0.00%
PHILIPPINE COLLEGE OF SCIENCE & TECHNOLOGY- CALASIAO,0.00%
"PHILIPPINE ENGINEERING & AGRO-INDUSTRIAL COLLEGE, INC",5.56%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-LOPEZ,41.46%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,62.99%
"POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-STA MARIA, BULACAN",22.03%
QUIRINO POLYTECHNIC COLLEGE,50.00%
RAMON MAGSAYSAY MEMORIAL COLLEGES,25.00%
RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY-IBA,42.67%
REPUBLIC CENTRAL COLLEGES,10.00%
RIZAL MEMORIAL COLLEGE,0.00%
RIZAL TECHNOLOGICAL UNIVERSITY,30.91%
ROMBLON STATE UNIV.( FOR ROMBLON S.C.)- ODIONGAN,24.39%
SAINT ANTHONY'S COLLEGE- ANTIQUE,29.41%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,11.54%
SAINT JOSEPH'S COLLEGE- MAASIN,34.55%
SAINT LOUIS COLLEGE OF SAN FERNANDO,50.00%
SAINT LOUIS UNIVERSITY,57.14%
SAINT MARY'S COLLEGE-TAGUM,16.67%
SAINT MARY'S UNIVERSITY,48.00%
SAINT PAUL UNIVERSITY-SURIGAO,16.67%
SAINT PAUL UNIVERSITY- TUGUEGARAO,0.00%
SAINT PETER'S COLLEGE-ILIGAN CITY,6.52%
SALAZAR INSTITUTE OF TECHNOLOGY-CEBU CITY,0.00%
SALAZAR INSTITUTE OF TECHNOLOGY-MADRIDEJOS,0.00%
SAMAR STATE UNIVERSITY (SAMAR S.P.C.),20.00%
SILLIMAN UNIVERSITY,63.64%
SORSOGON STATE COLLEGE- SORSOGON,33.96%
SOUTHERN BICOL COLLEGES,40.00%
SOUTHERN CITY COLLEGES,0.00%
SOUTHERN MINDANAO COLLEGES,10.39%
SOUTHWESTERN UNIVERSITY,0.00%
ST. MARY'S ANGELS COLLEGE OF PAMPANGA,0.00%
SULTAN KUDARAT  STATE UNIVERSITY-TACURONG,100.00%
SULTAN KUDARAT POLYTECHNIC STATE COLLEGE-ISULAN,53.85%
SURIGAO DEL SUR STATE UNIVERSITY- MAIN CAMPUS,85.71%
SURIGAO EDUCATION CENTER,0.00%
SURIGAO STATE COLLEGE OF TECHNOLOGY,31.43%
TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECH.),60.32%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,30.49%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,60.98%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,84.42%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-TAGUIG,32.50%
UNIVERSIDAD DE ZAMBOANGA (for.ZAEC),20.00%
UNIVERSITY OF ANTIQUE-SIBALOM,20.69%
UNIVERSITY OF BAGUIO,35.29%
UNIVERSITY OF BATANGAS,60.00%
UNIVERSITY OF BOHOL,13.89%
UNIVERSITY OF CEBU,23.38%
UNIVERSITY OF EASTERN PHILIPPINES-CATARMAN,36.21%
UNIVERSITY OF EASTERN PHILIPPINES-LAOANG CAMPUS,11.76%
UNIVERSITY OF ILOILO,42.11%
UNIVERSITY OF LA SALETTE- SANTIAGO,25.00%
UNIVERSITY OF LUZON (LUZON COLL.),17.91%
UNIVERSITY OF MAKATI,13.04%
UNIVERSITY OF MANILA,25.71%
UNIVERSITY OF MINDANAO- DAVAO CITY,12.24%
UNIVERSITY OF NEGROS OCCIDENTAL-RECOLETOS,61.40%
UNIVERSITY OF NUEVA CACERES,48.84%
UNIVERSITY OF PANGASINAN,68.00%
UNIVERSITY OF PERPETUAL HELP RIZAL-CALAMBA CAMPUS,0.00%
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTA-LAS PINAS,25.00%
UNIVERSITY OF PERPETUAL HELP SYSTEM-GMA,0.00%
UNIVERSITY OF PERPETUAL HELP SYSTEM-LAGUNA,34.29%
UNIVERSITY OF RIZAL SYSTEM- MORONG,77.42%
UNIVERSITY OF RIZAL SYSTEM- PILILLA,0.00%
UNIVERSITY OF SAINT ANTHONY,54.55%
UNIVERSITY OF SAINT LOUIS- TUGUEGARAO,60.44%
UNIVERSITY OF SAN AGUSTIN,19.57%
UNIVERSITY OF SAN CARLOS,54.95%
UNIVERSITY OF SAN JOSE- RECOLETOS,35.85%
UNIVERSITY OF SANTO TOMAS,78.64%
UNIVERSITY OF SOUTHEASTERN PHILIPPINES-BISLIG CAMPUS,33.33%
UNIVERSITY OF SOUTHEASTERN PHILIPPINES-DAVAO CITY,44.21%
UNIVERSITY OF SOUTHERN MINDANAO-KABACAN,52.78%
UNIVERSITY OF SOUTHERN PHILIPPINES,0.00%
UNIVERSITY OF THE ASSUMPTION,45.45%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),43.33%
UNIVERSITY OF THE EAST- CALOOCAN,31.15%
UNIVERSITY OF THE EAST-MANILA,40.29%
UNIVERSITY OF THE IMMACULATE CONCEPTION-DAVAO,27.27%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,89.89%
UNIVERSITY OF THE PHILIPPINES- LOS BAÑOS,96.61%
UNIVERSITY OF THE VISAYAS- CEBU CITY,8.57%
URDANETA CITY UNIVERSITY (CCU),22.22%
VIRGEN MILAGROSA UNIVERSITY FOUNDATION,5.56%
WESTERN INSTITUTE OF TECHNOLOGY,16.09%
WESTERN MINDANAO STATE U- ZAMBOANGA CITY,46.38%
WESTERN PHILIPPINES UNIV.(for.PALAWAN N.A.C)- ABORLAN,29.41%
WESTERN PHILIPPINES UNIVERSITY-PUERTO PRINCESA,20.00%
XAVIER UNIVERSITY,65.22%
