SCHOOL,% PASSED
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,33.69%
BULACAN STATE UNIVERSITY- BUSTOS,18.29%
BUTUAN CITY COLLEGES,6.25%
"C.V.E. COLLEGES INC. - PAGBILAO, QUEZON",0.00%
CABARRUS CATHOLIC COLLEGE,10.17%
CAGAYAN DE ORO COLLEGE,50.76%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),47.45%
CAGAYAN STATE UNIVERSITY- APARRI,39.02%
CAGAYAN STATE UNIVERSITY- CARITAN,6.98%
CAGAYAN STATE UNIVERSITY- GONZAGA,12.31%
CAGAYAN STATE UNIVERSITY-LAL- LO,26.19%
CAGAYAN STATE UNIVERSITY- LASAM,18.46%
CAGAYAN STATE UNIVERSITY- PIAT,13.85%
CAGAYAN STATE UNIVERSITY- SANCHEZ MIRA,22.16%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,0.00%
CAGAYAN VALLEY COLLEGES OF TUGUEGARAO,0.00%
CAINTA CATHOLIC COLLEGE,2.94%
CALABANGA POLYTECHNIC COLLEGE,38.46%
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),0.00%
CALAUAG CENTRAL COLLEGE,12.36%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",0.00%
"CALBIGA WESTERN SAMAR COLLEGE-POLANGUI, CALBIGA W. SAMAR",14.29%
CALI PARAMEDICAL COLLEGE FOUNDATION,100.00%
CALINOG AGRICULTURAL & INDUSTRIAL COLLEGE-CALINOG,0.00%
CAMARINES NORTE COLLEGE,15.89%
CAMARINES NORTE STATE COLLEGE-DAET,30.58%
CAMARINES NORTE STATE COLLEGE-LABO,0.00%
CAMARINES SUR COLLEGE OF ARTS & TRADES,0.00%
CAMARINES SUR INSTITUTE,0.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,0.00%
CAMIGUIN POLYTECHNIC STATE COLLEGE,4.44%
CAMILING COLLEGES,3.33%
CANOSSA COLLEGE,16.67%
CAPALONGA COLLEGE,10.53%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),22.95%
CAPIZ STATE UNIVERSITY - PILAR CAMPUS,19.67%
CAPIZ STATE UNIVERSITY - PONTEVEDRA CAMPUS,13.33%
CAPIZ STATE UNIVERSITY - SAPI- AN,0.00%
CAPIZ STATE UNIVERSITY - TAPAZ,4.44%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,0.00%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DAYAO CAMPUS,19.35%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DUMARAO,18.37%
CAPIZ STATE UNIVERSITY (PANAY SPC)-MAMBUSAO,0.00%
CAPIZ STATE UNIVERSITY(PANAY SPC)- BURIAS CAMPUS,8.11%
CARAGA INSTITUTE OF TECHNOLOGY,11.16%
CARAGA STATE UNIVERSITY- BUTUAN CITY,52.34%
"CARAGA STATE UNIVERSITY- CABADBARAN, AGUSAN DEL NORTE",0.00%
CARAMOAN COMMUNITY COLLEGE -CARAMOAN CAMARINES SUR,3.41%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,50.22%
CARLOS HILADO STATE COLLEGE OF FISHERIES-BINALBAGAN,17.98%
"CARMELITE COLLEGE OF SIQUIJOR, INC - SIQUIJOR",0.00%
"CARTHEL SCIENCE EDUCATIONAL FOUNDATION,INC. (for.OLRA)",6.25%
CASA DEL NIÑO COLLEGE,0.00%
CATAINGAN MUNICIPAL COLLEGE,1.78%
CATANDUANES COLLEGE,4.94%
CATANDUANES STATE UNIVERSITY - VIRAC,46.91%
CATANDUANES STATE UNIVERSITY-PANGANIBAN,27.10%
"CAVITE STATE UNIVERSITY - GEN. TRIAS, CAVITE",50.00%
CAVITE STATE UNIVERSITY - SILANG CAMPUS,50.00%
CAVITE STATE UNIVERSITY (CAVITE COLL. OF FISHERIES)- NAIC,25.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),40.00%
CAVITE STATE UNIVERSITY- CAVITE CITY,23.81%
CAVITE WEST POINT COLLEGE,2.56%
CBD INSTITUTE OF LEARNING,14.29%
CEBU EASTERN COLLEGE,21.74%
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,33.33%
CEBU MARY IMMACULATE COLLEGE,9.09%
CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),50.21%
CEBU ROOSEVELT MEMORIAL COLLEGES,11.22%
CEBU STATE COLLEGE OF SCIENCE & TECHNOLOGY SYSTEM(for.CSAT),0.00%
CEBU TECHNOLOGICAL UNIVERSITY-ARGAO (for.CSCST),55.79%
CEBU TECHNOLOGICAL UNIVERSITY-BARILI (for.CSCST),17.78%
CEBU TECHNOLOGICAL UNIVERSITY-CARMEN (for.CSCST),23.53%
CEBU TECHNOLOGICAL UNIVERSITY-DAANBATAYAN (for.CSCST),22.35%
CEBU TECHNOLOGICAL UNIVERSITY-DANAO (for.CSCST),26.85%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),33.99%
CEBU TECHNOLOGICAL UNIVERSITY-MOALBOAL (for.CSCST),23.29%
CEBU TECHNOLOGICAL UNIVERSITY-SAN FRANCISCO (for.CSCST),29.09%
CEBU TECHNOLOGICAL UNIVERSITY-TUBURAN (for.CSCST),24.36%
CEDAR COLLEGE - NEGROS OCCIDENTAL,30.77%
CENTER FOR EARLY CHILDHOOD CARE & DEVELOPMENT,0.00%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)-PILI,40.32%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)- SIPOCOT,32.67%
CENTRAL BICOL STATE UNIVERSITY OF AGRICULTURE- (FOR. CSSAC)-P,17.14%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,0.00%
CENTRAL INSTITUTE OF TECHNOLOGY-PANIQUI,20.82%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY- OLONGAPO,25.00%
CENTRAL LUZON STATE UNIVERSITY,43.86%
CENTRAL MAGUINDANAO INSTITUTE,0.00%
CENTRAL MINDANAO ACADEMY OF ARTS FOUNDATION,0.00%
CENTRAL MINDANAO CHRISTIAN COLLEGE,0.00%
CENTRAL MINDANAO COLLEGES,17.33%
CENTRAL MINDANAO UNIVERSITY,20.00%
CENTRAL NEGROS COLLEGE,3.51%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,13.33%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - CANDONI,6.25%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - CAUAYAN,33.64%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - ILOG,20.00%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - MAIN,38.82%
